student_id,response
S01,"5/6 because 1/2 is 3/6 and 1/3 is 2/6, so 3/6 + 2/6 = 5/6."
S02,"2/5 because 1+1=2 and 2+3=5."
S03,"2/6 because I added the tops and kept the bottom."
S04,"5/6. I made both denominators 6."
S05,"1/5. I added 2 and 3 to get 5 and kept the 1."
S06,"3/5 because half plus a third is like 2 parts plus 1 part."
S07,"5/6 because 0.5 + 0.333 is about 0.833."
S08,"2/5. You add across fractions."
S09,"6/5 because 2+3=5 and 1+1=2, then flip."
S10,"I think it is 1/6 because both fractions have 1 on top."
S11,"5/6. Common denominator is 6."
S12,"2/3 because 1/2 is close to 1/3."
S13,"I don't know. I guessed 4/6."
S14,"5/6 since 3/6 plus 2/6 equals 5/6."
S15,"2/5 because add numerator and denominator."
S16,"4/6 because 1/2 becomes 3/6 and 1/3 becomes 1/6."
S17,"5/6, used common denominator."
S18,"2/6. I added 1 + 1 and used 6 as the denominator."

